THEO-13183-02		Theology University Seminar	Arner, Neil	Theology	2014-12-20	2015-05-08	$$1Spring
ARCH-50221-01		Twentieth Century Architecture	Doordan, Dennis	Architecture	2011-12-19	2012-05-11	Spring$$1NA
HIST-43601-01		Atlantic Revolutions	Cangany, Catherine	History	2012-08-06	2012-12-14	Fall$$1NA
ENGL-43603-01		Voices of the American Renaissance	Gustafson, Sandra	English	2011-01-03	2011-05-13	Spring$$1NA
ENGL-30853-01		Fiction Writing	Van der Vliet Oloomi, Azareen	English	2012-12-17	2013-05-10	Spring$$1NA
ACCT-20200-01		Accountancy II	Schmuhl W	Accounting	2012-12-14	2013-05-10	Spring$$1NA
POLS-30661-01		Constitutionalism, Law and Politics	Deneen, Patrick	Political Science	2012-12-17	2013-05-10	Spring$$1NA
ANTH-35370-01		New Media	Blum, Susan	Anthropology	2010-01-04	2010-05-07	Spring ENG$$1NA
THEO-33970-01		International Issues	Tomas Morgan, Rachel	Theology	2012-12-17	2013-05-10	Spring$$1NA
MUS-60402-01		Organ Literature II	Walker, Paul	Music	2014-07-28	2014-12-19	Fall$$1NA
CLAS-30034-01		Seneca and Stoicism	Schlegel, Catherine	Latin Language and Literature	2012-12-17	2013-05-10	Spring$$1NA
THEO-60269-01		Three Twelfth-Century Cistercians	Astell, Ann	Theology	2013-08-05	2013-12-20	Fall$$1NA
SOC-63915-01		Designing Qualitative Research	Spillman, Lyn	Sociology	2014-12-20	2015-05-08	$$1Spring
ENGL-40247-01		Imitation and Devotion	Monta, Susannah	English	2012-12-17	2013-05-17	Spring$$1NA
THEO-60149-01		Paul & the Early Christian Mission	D'Angelo, Mary Rose	Theology	2011-08-08	2011-12-16	Fall$$1NA
HPS-93722-01		Molecular Revolution	Sloan, Phillip	History and Philosophy of Science	2013-08-05	2013-12-20	Fall$$1NA
THEO-20836-01		God, Human Beings & Salvation	Colberg, Shawn	Theology	2010-05-10	2010-08-06	Summer$$1NA
HIST-30587-01		Modern Genocide in Historical Context	Faulkner, Lauren	History	2011-08-08	2011-12-16	Fall$$1NA
ROFR-63220-01		Lyric Poetry of the Renaissance	DelleNeva, JoAnn	Romance Languages and Literature	2010-01-04	2010-05-07	Spring ENG$$1NA
THEO-10001-30		Foundations of Theology	Smith, Devon	Theology	2010-01-04	2010-05-07	Spring ENG$$1NA
HIST-83000-01		The Historian's Craft	Ocobock, Paul	History	2013-08-05	2013-12-20	Fall$$1NA
MUS-30211-01		Opera Production	Beudert, Mark	Music	2011-01-03	2011-05-13	Spring$$1NA
HIST-30189-01		South Asia: Colonialism & Nationalism	Sengupta, Jayanta	History	2010-01-04	2010-05-07	Spring ENG$$1NA
HIST-30270-01		Castles, Kingdoms, and Cathedrals	Perett, Marcela	History	2010-01-04	2010-05-07	Spring ENG$$1NA
AMST-30190-01		Religion in America	Tweed, Thomas	American Studies	2013-08-05	2013-12-20	Fall$$1NA
HIST-20400-01		Western Civilization	Beisswenger, Martin	History	2010-08-09	2010-12-17	Fall$$1NA
THEO-40289-01		Modern Ecclesial Movements	Astell, Ann	Theology	2012-12-17	2013-05-10	Spring$$1NA
THEO-83117-01		Narrative Structure and the Hebrew Bible	Novick, Tzvi	Theology	2010-01-04	2010-05-07	Spring ENG$$1NA
MBCM-70500-01		Conflict Management	Collins, S.	Management	2013-05-17	2013-08-09	$$1Summer$$2NA
POLS-13181-02		Social Science University Seminar	Abbey, Ruth	Political Science	2011-01-03	2011-05-13	Spring$$1NA
ARCH-53621-01		Nature and the Built Environment	Salden, Samantha	Architecture	2011-12-19	2012-05-11	Spring$$1NA
HIST-32985-01		World History of 20th Century Christianity	Noll, Mark	History	2010-01-04	2010-05-07	Spring ENG$$1NA
ARCH-10311-01		Analysis of Arch. Writings	Economakis, Richard	Architecture	2014-12-20	2015-05-08	$$1Spring
